((88, 73), 0.45751697439322203)
((88, 57), 0.029335227577602596)
((88, 44), 0.30064386881072086)
((88, 68), -0.0009967755150589452)
((88, 77), 0.19421669252267423)
((88, 47), 0.009634203843115918)
((41, 0), 0.2174248496314536)
((41, 64), 0.51506443019712)
((41, 8), 0.36536588016456445)
((41, 81), 0.16992454603830986)
((41, 65), 0.21605303556681676)
((41, 49), 0.019371245393573572)
((41, 82), 0.10873525138988299)
((41, 26), 0.36767216855199225)
((41, 10), 0.3862939012445338)
((41, 2), 0.38215901841512573)
((41, 27), 0.1532088298198419)
((41, 83), 0.36325280307185)
((41, 3), 0.8025451906047208)
((41, 52), 0.35247253423619695)
((41, 4), 0.2490337311906494)
((41, 28), 0.5291381079135894)
((41, 92), 0.016077946265240534)
((41, 12), 0.27334801901380684)
((41, 44), 0.34815574826457485)
((41, 68), 0.6565951549402036)
((41, 53), 0.4578346780111823)
((41, 29), 0.37841374217447615)
((41, 93), 0.5396014062775369)
((41, 54), 0.11173471775806171)
((41, 46), 0.5544568888524634)
((41, 14), 0.2024791012793919)
((41, 7), 0.11129051755046276)
((137, 64), 0.41388740041841016)
((137, 65), 0.5933391904578427)
((137, 26), 0.49219239524142777)
((137, 28), 0.08708299151085243)
((137, 60), 0.5835982367623125)
((137, 30), 0.048679617570164146)
((81, 96), 0.04118222770043972)
((81, 32), 0.6384786636661963)
((81, 64), 0.706572167081887)
((81, 58), 0.30121650840118414)
((81, 26), 0.06587748406241528)
((81, 27), 0.12761130229704673)
((81, 75), 0.022027181699633108)
((81, 99), 0.32632996688291743)
((81, 28), 0.30851149199158134)
((81, 22), 0.03741978184007444)
((81, 70), 0.15390696285244354)
((81, 78), 0.06902560191469123)
((81, 23), 0.18374223220383384)
((81, 87), 0.039292162864787705)
((97, 48), -0.0003572542275867008)
((97, 8), 0.6388638661090161)
((97, 82), 0.44632388608399903)
((97, 47), 0.04222917074350507)
((25, 16), 0.3293214601980592)
((105, 38), 0.32924590209162563)
((121, 73), 0.00523736397241778)
((121, 44), 0.48264981906087506)
((65, 16), 0.1889636402611286)
((65, 80), -0.004737796711188798)
((65, 48), 0.33833915360552813)
((65, 32), 0.09565580465484418)
((65, 24), 0.11601749499516112)
((65, 40), 0.20833344867699655)
((65, 8), -0.05216808240915405)
((65, 73), 0.18116785258443951)
((65, 57), 0.29059574408001715)
((65, 89), 0.4242023185975833)
((65, 17), 0.4331184689963121)
((65, 9), 0.16429172871863887)
((65, 82), 0.1004392538527295)
((65, 50), 0.14317380987291495)
((65, 42), 0.4527180806003438)
((65, 90), 0.5476986696839238)
((65, 58), 0.1924317464433969)
((65, 10), 0.2804645692002693)
((65, 2), 0.039551495830052824)
((65, 59), 0.10760187478104588)
((65, 91), 0.12188576130693622)
((65, 43), 0.7998703750798755)
((65, 20), 0.06531354915389767)
((65, 12), 0.10863550000338801)
((65, 44), 0.4550042221431644)
((65, 68), 0.2979297486634186)
((65, 13), 0.37354090132402135)
((65, 61), 0.30536898618550123)
((65, 101), 0.033837630150732156)
((65, 21), 0.07621164763027288)
((65, 85), 0.486511954737299)
((65, 22), 0.47175141091601747)
((65, 54), 0.03327470035001684)
((65, 46), 0.27626248233444944)
((65, 62), 0.07124602934026891)
((65, 102), 0.3099570388308995)
((65, 70), 0.299617417394727)
((65, 38), -0.013962104564471847)
((65, 94), 0.32069724329976623)
((65, 39), 0.3102027551491303)
((65, 47), 0.27816566331329495)
((65, 79), 0.3809472501605182)
((65, 23), 0.18674667885948304)
((65, 7), 0.06125286576235267)
((65, 103), 0.17940374630617562)
((65, 87), 0.2117427381039031)
((73, 49), 0.32318983900377596)
((73, 46), -0.008069540005919251)
((73, 47), 0.0064784028566154395)
((57, 16), 0.6645679854741022)
((57, 0), 0.2924075308337231)
((57, 57), 0.11813539834174297)
((57, 59), 0.2777314461715932)
((57, 4), 0.525737915573301)
((57, 61), 0.5983432405239881)
((57, 21), -0.04146785669156358)
((57, 77), 0.02889601426240687)
((57, 54), 0.23377575967347047)
((57, 38), 0.4616315103748385)
((57, 94), 0.5618294955826082)
((33, 16), 0.10212359717473196)
((33, 48), 0.160048479260726)
((33, 24), 0.14322076421532226)
((33, 64), 0.3184407726208033)
((33, 40), 0.15735568801943228)
((33, 72), 0.1404430809790569)
((33, 8), 0.1426587229568908)
((33, 88), 0.3074563148410403)
((33, 41), 0.32217133442950097)
((33, 73), 0.30505126647014963)
((33, 1), 0.22467187662323326)
((33, 89), 0.137694404021298)
((33, 17), 0.2627040276056142)
((33, 49), 0.023779857771966714)
((33, 50), 0.26210116262495675)
((33, 74), 0.16966706315068594)
((33, 58), 0.27621490041667446)
((33, 26), 0.25757618606098015)
((33, 10), 0.27175582383606034)
((33, 2), 0.2296948145817614)
((33, 59), 0.2609908019499282)
((33, 27), 0.24110852045701722)
((33, 67), 0.10479526604488044)
((33, 3), 0.4068569318996918)
((33, 100), 0.19659771666464412)
((33, 28), 0.35023779635286706)
((33, 68), 0.33444634781289995)
((33, 61), 0.21883344628244683)
((33, 29), 0.3078564401177632)
((33, 45), 0.05807827620412093)
((33, 85), 0.24508995218211305)
((33, 5), -0.01044473542466004)
((33, 22), 0.13501464259067275)
((33, 54), 0.031199414073495774)
((33, 46), 0.2686755332357258)
((33, 30), 0.19320529413483456)
((33, 62), -0.04442023549726126)
((33, 38), 0.11325734480911309)
((33, 78), 0.3211047744888147)
